data_dictionary_category;data_item;frequency;publication_time;unit_of_measure;created_by;last_updated_by;new_existing_renamed
Balancing;Aggregate Finance Balance, Imbalance, Charge;ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, Imbalance, Payment;ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, On Day Commodity, PRI Charge;ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, Scheduling, Charge (DMA Exit);ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, Scheduling, Charge (Entry);ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, Scheduling, Charge (Exit);ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Aggregate Finance Balance, Unauthorised Flow Charge;ASAP;ASAP;£;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;Aggregate LNG Importations - Daily Flow;Daily;11:00;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Interruption;Aggregate NTS Energy - LDZ Constraint;Daily;11:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Interruption;Aggregate NTS Energy - NTS Constraint;Daily;11:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Interruption;Aggregate NTS Energy - Test;Daily;11:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Aggregate Entry Points, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Aggregate Entry Points, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Aggregate Exit Points, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Aggregate Exit Points, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, DMC (LDZ) Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, DMC (LDZ) Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Interconnector Entry Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Interconnector Entry Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Interconnector Exit Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Interconnector Exit Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, LNG Importation Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, LNG Importation Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NBP Trade Entry Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NBP Trade Entry Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NDM Exit Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NDM Exit Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NTS Industrial Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NTS Industrial Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NTS Powerstations Total D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, NTS Powerstations Total,M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Shrinkage (LDZ) Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Shrinkage (LDZ) Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Storage Entry Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Storage Entry Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Storage Exit Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Storage Exit Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Subterminals Total, D+2;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Energy, Subterminals Total, M+30;ASAP;ASAP;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Balancing;Allocations, Input, Entry Points;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Input, Shrinkage;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Input, Storage Withdrawal;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Input, Total;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Output, End Users;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Output, Shrinkage;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Output, Storage Injection;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Allocations, Output, Total;Daily;12:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Notices;ANS Messages;ASAP;ASAP;N/A;MIPI;MIPI;Existing Dis (Before EU2015)
Entry Capacity;Avonmouth Lng Entry, Available Capacity;Daily;ASAP;mscm;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Avonmouth Lng Entry, ICF;Daily;ASAP;N/A;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton IPs, Available Capacity;Daily;ASAP;kWh;MIPIEU2015;MIPIEU2015;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton IPs, ICF;Daily;ASAP;kWh;MIPIEU2015;MIPIEU2015;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton UKCS, Available Capacity;Daily;ASAP;kWh;MIPIEU2015;MIPIEU2015;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton UKCS, ICF;Daily;ASAP;kWh;MIPIEU2015;MIPIEU2015;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton Zone, Available Capacity;Daily;ASAP;mscm;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;Bacton Zone, ICF;Daily;ASAP;N/A;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 0 to 6 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 0 to 6 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 12 to 18 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 12 to 18 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 18 to 24 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 18 to 24 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 6 to 12 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - 6 to 12 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - D-1, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton IPs - D-1, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 0 to 6 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 0 to 6 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 12 to 18 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 12 to 18 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 18 to 24 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 18 to 24 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 6 to 12 hours of Gas Day, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - 6 to 12 hours of Gas Day, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - D-1, Buy;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC Bacton UKCS - D-1, Sell;Daily;12:00;kWh;MIPIEU2015;MIPIEU2015;Newly added (EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Barrow - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Demand Site - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Easington - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Hornsea - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc LNG - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 0 to 6 hours of Gas Day, Sell;Daily;12:00;N/A;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;Rajesh.Kukadia;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - D-1, Buy;Daily;12:00;£;Rajesh.Kukadia;Rajesh.Kukadia;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - LOC MILFORD HAVEN - D-1, Sell;Daily;12:00;£;Rajesh.Kukadia;Rajesh.Kukadia;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Beach - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 12 to 18 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 18 to 24 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 18 to 24 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 6 to 12 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - 6 to 12 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - D-1, Buy;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Other Storage - D-1, Sell;Daily;12:00;£;MIPI;MIPI;Existing Dis (Before EU2015)
Balancing;Balancing Summary - Balancing Action Cost - Loc Rough - 0 to 6 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Rough - 0 to 6 hours of Gas Day, Sell;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
Balancing;Balancing Summary - Balancing Action Cost - Loc Rough - 12 to 18 hours of Gas Day, Buy;Daily;12:00;£;MIPI;MIPIEU2015;Renamed DI as part of EU2015
